Player,GP,G,A,TP,PPG,PIM,POS,firstYear,lastYear
John Marks,657,112,163,275,0.419,330,D,1972,1982
Erwin Chamberlain,510,100,175,275,0.539,769,C,1937,1949
Joe Cirella,828,64,211,275,0.332,1448,D,1981,1996
Jimmy Ward,527,147,127,274,0.52,455,RW,1927,1939
Gilles Hamel,519,127,147,274,0.528,276,RW,1980,1989
Nikolai Kulyomin,669,121,153,274,0.41,173,LW/RW,2008,2018
Dwight Foster,541,111,163,274,0.506,420,RW,1977,1987
Igor Kravchuk,699,64,210,274,0.392,251,D,1991,2003
James Wisniewski,552,53,221,274,0.496,459,D,2005,2016
Reg Noble,510,167,106,273,0.535,925,C,1917,1933
Ray Getliffe,393,136,137,273,0.695,250,LW,1935,1945
Gino Cavallini,593,114,159,273,0.46,507,LW,1984,1993
Don Sweeney,1115,52,221,273,0.245,681,D,1988,2004
Ernie Hicke,520,132,140,272,0.523,407,LW,1970,1978
Marcel Bonin,454,97,175,272,0.599,336,LW,1952,1962
Dylan Larkin,394,110,161,271,0.688,253,C,2015,2021
Eric Brewer,1009,77,194,271,0.26899999999999996,792,D,1998,2015
Morgan Rielly,523,55,216,271,0.518,129,D,2013,2021
Jake Gardiner,622,49,222,271,0.436,215,D,2011,2021
Tom Bladon,610,73,197,270,0.44299999999999995,392,D,1972,1981
John Gould,504,131,138,269,0.534,113,LW,1971,1980
Dave Scatchard,659,128,141,269,0.408,1040,C,1997,2011
Shaun Van Allen,794,84,185,269,0.33899999999999997,481,C,1990,2004
T.J. Brodie,640,48,221,269,0.42,194,D,2010,2021
Leon Rochefort,617,121,147,268,0.434,93,RW,1960,1976
Garry Howatt,720,112,156,268,0.37200000000000005,1836,LW,1972,1984
Mike Allison,499,102,166,268,0.537,630,RW/LW,1980,1990
Billy Reay,479,105,162,267,0.557,202,C,1943,1953
Peter Ihnacak,417,102,165,267,0.64,175,C,1982,1990
Wojtek Wolski,451,99,168,267,0.5920000000000001,113,LW/RW,2005,2013
Billy Taylor,323,87,180,267,0.8270000000000001,120,C,1939,1948
Kenny Jonsson,686,63,204,267,0.389,298,D,1994,2004
Sebastian Aho,313,122,144,266,0.85,102,C/LW,2016,2021
Brayden Point,298,118,148,266,0.893,79,C,2016,2021
Brian Lawton,483,112,154,266,0.551,401,LW,1983,1993
Carl Hagelin,609,101,165,266,0.43700000000000006,254,LW,2011,2021
Marty Reasoner,798,97,169,266,0.33299999999999996,379,C,1998,2013
Mikko Makela,423,118,147,265,0.626,139,RW,1985,1995
Neil Colville,464,99,166,265,0.5710000000000001,213,D,1935,1949
Stephane Yelle,991,96,169,265,0.267,490,C,1995,2010
Bill White,604,50,215,265,0.439,495,D,1967,1976
Mikael Andersson,761,95,169,264,0.34700000000000003,144,W/C,1985,2000
Dan Girardi,927,56,208,264,0.285,315,D,2006,2019
Fyodor Tyutin,872,55,209,264,0.303,548,D,2003,2017
Tom Johnson,978,51,213,264,0.27,960,D,1947,1965
Buzz Boll,437,133,130,263,0.602,148,LW,1932,1944
Benoit Pouliot,625,130,133,263,0.42100000000000004,371,LW,2006,2018
Johnny Gagnon,454,120,141,263,0.579,295,RW,1930,1940
Jay Wells,1098,47,216,263,0.24,2359,D,1979,1997
Rick Green,845,43,220,263,0.311,588,D,1976,1992
Eddie Joyal,466,128,134,262,0.562,103,C,1962,1972
Josef Beranek,531,118,144,262,0.493,398,C,1991,2001
Jonas Hoglund,545,117,145,262,0.48100000000000004,112,RW,1996,2003
Matthew Lombardi,536,101,161,262,0.489,293,C,2003,2013
Benoit Brunet,539,101,161,262,0.486,229,LW,1988,2002
Dave Tippett,721,93,169,262,0.363,317,LW,1983,1994
Anton Stralman,820,52,210,262,0.32,267,D,2007,2021
Devin Setoguchi,516,131,130,261,0.506,177,RW,2007,2017
Jody Hull,831,124,137,261,0.314,156,RW,1988,2004
Nikolaj Ehlers,373,117,144,261,0.7,130,LW,2015,2021
Nikolai Zherdev,421,115,146,261,0.62,225,LW/RW,2003,2011
Vernon Fiddler,877,104,157,261,0.298,558,C/LW,2002,2017
Peter Schaefer,572,99,162,261,0.456,200,LW,1998,2011
Pat Price,726,43,218,261,0.36,1456,D,1975,1988
Raffi Torres,635,137,123,260,0.409,497,LW,2001,2015
Kirk Maltby,1072,128,132,260,0.243,867,LW,1993,2010
Bobby Bauer,327,123,137,260,0.795,36,RW,1936,1952
Wes Walz,607,109,151,260,0.428,343,C,1989,2008
"Bryan Hextall, Jr.",549,99,161,260,0.474,738,C,1962,1976
Jeff Petry,685,71,189,260,0.38,269,D,2010,2021
Dmitri Mironov,556,54,206,260,0.46799999999999997,568,D,1991,2001
Ryan Whitney,481,50,209,259,0.5379999999999999,383,D,2005,2014
Pat Hughes,573,130,128,258,0.45,646,RW,1977,1987
Ed Johnstone,426,122,136,258,0.606,375,RW,1975,1987
Keith Jones,491,117,141,258,0.525,765,RW,1992,2001
Paul MacDermid,690,116,142,258,0.374,1303,RW,1981,1995
Sam Reinhart,405,111,147,258,0.637,80,C/RW,2014,2021
Sergejs Zoltoks,588,111,147,258,0.439,166,C,1992,2004
Dean Talafous,497,104,154,258,0.519,163,RW/C,1974,1982
Dave Lumley,437,98,160,258,0.59,680,RW,1978,1987
Kevin McCarthy,537,67,191,258,0.48,527,D,1977,1987
Seth Jones,529,60,198,258,0.488,168,D,2013,2021
Stephane Robidas,937,57,201,258,0.275,713,D,1999,2017
Jason Zucker,476,138,118,256,0.5379999999999999,177,LW/RW,2011,2021
Jannik Hansen,626,109,147,256,0.409,282,RW/LW,2006,2018
Mikko Rantanen,286,103,153,256,0.895,126,RW,2015,2021
Mike Hough,707,100,156,256,0.36200000000000004,675,LW,1984,1999
Garry Valk,777,100,156,256,0.32899999999999996,747,LW/RW,1990,2003
Randy Robitaille,531,84,172,256,0.48200000000000004,201,C,1996,2008
Randy Manery,582,50,206,256,0.44,415,D,1970,1980
Terry Harper,1066,35,221,256,0.24,1362,D,1962,1981
Jonathan Marchessault,354,113,142,255,0.72,183,LW/RW,2012,2021
Jim Schoenfeld,719,51,204,255,0.355,1132,D,1972,1985
Tommy Albelin,956,44,211,255,0.267,417,D,1987,2006
Ryan Strome,495,95,159,254,0.513,268,C/RW,2013,2021
Bob Davidson,491,94,160,254,0.517,398,LW,1934,1946
Dan Daoust,522,87,167,254,0.48700000000000004,544,C,1982,1990
Ted Green,620,48,206,254,0.41,1029,D,1960,1972
Don Saleski,543,128,125,253,0.466,629,RW,1971,1980
Tommy Williams,397,115,138,253,0.637,73,LW,1971,1979
Doug Smith,535,115,138,253,0.473,624,C,1981,1990
Max Domi,380,81,172,253,0.6659999999999999,302,C/LW,2015,2021
Ryan Ellis,531,70,183,253,0.47600000000000003,179,D,2011,2021
Paul Mara,734,64,189,253,0.345,776,D,1998,2011
Jake Muzzin,585,62,191,253,0.43200000000000005,356,D,2010,2021
Babe Dye,272,203,49,252,0.9259999999999999,220,RW,1919,1931
Justin Abdelkader,739,106,146,252,0.341,608,LW/RW,2007,2020
Marty Pavelich,634,93,159,252,0.397,454,LW,1947,1957
Lyle Odelein,1056,50,202,252,0.239,2316,D,1989,2006
Mason Raymond,546,115,136,251,0.46,156,LW/RW,2007,2017
Ed Sandford,502,106,145,251,0.5,355,LW,1947,1956
Daniel Winnik,798,82,169,251,0.315,367,W/C,2007,2018
Dennis Seidenberg,859,44,207,251,0.292,359,D,2002,2019
Patrik Laine,306,140,110,250,0.8170000000000001,118,RW/LW,2016,2021
Nick Metz,518,131,119,250,0.483,149,LW,1934,1948
Chris Neil,1026,112,138,250,0.244,2522,RW,2001,2017
Andreas Dackell,613,91,159,250,0.408,162,LW,1996,2004
Darrin Shannon,506,87,163,250,0.494,344,LW,1988,1998
Bill Houlder,846,59,191,250,0.29600000000000004,412,D,1987,2003
Jean-Jacques Daigneault,898,53,197,250,0.278,667,D,1984,2001
Jaroslav Modry,725,49,201,250,0.345,510,D,1993,2008
David Volek,396,95,154,249,0.629,201,LW,1988,1994
Jiri Slegr,622,56,193,249,0.4,838,D,1992,2006
Andy Greene,937,49,200,249,0.266,261,D,2006,2021
Derek Plante,450,96,152,248,0.551,140,C,1993,2001
Sean Avery,580,90,157,247,0.426,1533,LW/C,2001,2012
John Sorrell,490,127,119,246,0.502,100,LW,1930,1941
Baldy Northcott,446,133,112,245,0.5489999999999999,273,D/LW,1928,1939
Andrew Shaw,535,115,130,245,0.45799999999999996,569,W/C,2011,2021
Peter John Lee,431,114,131,245,0.568,257,LW,1977,1983
Tie Domi,1020,104,141,245,0.24,3515,RW,1989,2006
Jan Bulis,552,96,149,245,0.444,268,C/LW,1997,2007
Tyler Arnason,486,88,157,245,0.504,140,C,2001,2009
Earl Reibel,409,84,161,245,0.599,75,C,1953,1959
Darren Veitch,449,45,200,245,0.546,269,D,1980,1991
Brad Richardson,812,107,137,244,0.3,406,C,2005,2021
Jay McClement,906,90,154,244,0.26899999999999996,325,C/D,2005,2017
Andre Dupont,800,59,185,244,0.305,1986,D,1970,1983
Andrej Sekera,765,47,197,244,0.319,194,D,2006,2021
Bill Hajt,854,42,202,244,0.28600000000000003,433,D,1973,1987
Keith McCreary,532,131,112,243,0.457,294,LW,1961,1975
Darren Helm,698,109,134,243,0.348,228,LW/C,2007,2021
Todd Krygier,543,100,143,243,0.44799999999999995,533,LW,1989,1998
Greg Terrion,561,93,150,243,0.433,339,LW,1980,1988
Joe Primeau,310,66,177,243,0.784,105,C,1927,1936
Jim Benning,610,52,191,243,0.39799999999999996,461,D,1981,1990
Patrick Eaves,633,132,110,242,0.382,210,RW/LW,2005,2020
Glen Skov,650,106,136,242,0.37200000000000005,413,C,1949,1961
Paul Gillis,624,88,154,242,0.38799999999999996,1498,C,1982,1993
Stephane Quintal,1037,63,179,242,0.233,1320,D,1988,2004
Curt Giles,895,43,199,242,0.27,733,D,1979,1993
Toni Lydman,847,36,206,242,0.28600000000000003,551,D,2000,2013
Alfred Lepine,526,143,98,241,0.45799999999999996,392,C,1925,1938
Bob Kudelski,442,139,102,241,0.545,218,RW,1987,1996
Shean Donovan,951,112,129,241,0.253,705,RW,1994,2010
Richard Park,738,102,139,241,0.327,266,RW/C,1994,2012
Paul Cyr,470,101,140,241,0.513,623,LW,1982,1992
Rich Peverley,442,84,157,241,0.545,167,C,2006,2015
Reggie Fleming,749,108,132,240,0.32,1468,LW/D,1959,1971
Danny Lewicki,461,105,135,240,0.521,177,LW,1950,1959
Inge Hammarstrom,427,116,123,239,0.56,86,RW,1973,1979
John Druce,531,113,126,239,0.45,347,RW,1988,1998
Reynald Comeau,564,98,141,239,0.424,175,C,1971,1980
Grant Marshall,700,92,147,239,0.341,793,RW,1994,2006
Kip Miller,449,74,165,239,0.532,105,LW,1990,2004
Jim Dowd,728,71,168,239,0.32799999999999996,390,C,1991,2008
Michael Del Zotto,662,56,183,239,0.361,272,D,2009,2021
"Lee Fogolin, Jr.",924,44,195,239,0.259,1318,D,1974,1987
Don Murdoch,320,121,117,238,0.7440000000000001,155,RW,1976,1982
Matthew Tkachuk,296,96,142,238,0.804,304,LW/RW,2016,2021
Brian Holzinger,547,93,145,238,0.435,339,C,1994,2004
Andrej Meszaros,645,63,175,238,0.369,457,D,2005,2015
Art Chapman,438,62,176,238,0.5429999999999999,140,C,1930,1940
Dan McGillis,634,56,182,238,0.375,570,D,1996,2006
Mike Milbury,754,49,189,238,0.316,1552,D,1975,1987
Cal Clutterbuck,828,120,117,237,0.28600000000000003,616,RW,2007,2021
Tom Chorske,596,115,122,237,0.39799999999999996,225,LW,1989,2000
Cody Eakin,591,103,134,237,0.401,242,C,2011,2021
Craig Rivet,923,50,187,237,0.257,1171,D,1994,2011
David Booth,530,124,112,236,0.445,216,LW/RW,2006,2018
Joe Klukay,566,109,127,236,0.41700000000000004,189,LW,1942,1956
Trent Hunter,497,101,135,236,0.475,209,RW,2001,2012
Mike Eastwood,783,87,149,236,0.301,354,C,1991,2004
Kris Russell,849,46,190,236,0.278,259,D,2007,2021
Steve Konroyd,895,41,195,236,0.264,863,D,1980,1995
Alexander Selivanov,459,121,114,235,0.512,379,RW,1994,2001
Mike Donnelly,465,114,121,235,0.505,255,LW,1986,1997
Kevin LaVallee,366,110,125,235,0.642,85,LW,1980,1987
Patrick Poulin,634,101,134,235,0.371,299,LW,1991,2002
Kyle Wellwood,489,92,143,235,0.48100000000000004,36,C,2003,2013
Marc-Andre Bergeron,490,82,153,235,0.48,214,D,2002,2013
Gaston Gingras,476,61,174,235,0.494,161,D,1979,1989
Shawn Chambers,625,50,185,235,0.376,364,D,1987,2000
Dave Trottier,446,121,113,234,0.525,517,F,1928,1939
Jimmy Thomson,787,19,215,234,0.297,920,D,1945,1958
Braydon Coburn,968,49,184,233,0.24100000000000002,708,D,2005,2021
Harold Snepsts,1033,38,195,233,0.226,2009,D,1974,1991
William Karlsson,415,101,131,232,0.5589999999999999,62,C,2014,2021
Bob Bassen,765,88,144,232,0.303,1004,C,1985,2000
Paul Cavallini,564,56,177,232,0.41100000000000003,750,D,1986,1996
Larry Hillman,790,36,196,232,0.294,579,D,1954,1973
Brian Boyle,805,130,101,231,0.287,588,C/LW,2007,2020
Blair Chapman,402,106,125,231,0.575,158,RW,1976,1983
Paul Gaustad,727,89,142,231,0.318,778,C,2002,2016
Ehrhardt Heller,647,55,176,231,0.35700000000000004,465,D,1931,1946
Barclay Plager,614,44,187,231,0.376,1115,D,1967,1977
Yves Racine,508,37,194,231,0.455,439,D,1989,1998
Steve Bernier,637,105,125,230,0.361,300,RW,2005,2018
Antti Miettinen,539,97,133,230,0.42700000000000005,234,W/C,2003,2013
Pat Egan,554,77,153,230,0.415,776,D,1939,1951
Terry Carkner,858,42,188,230,0.268,1588,D,1986,1999
Ron Sedlbauer,430,143,86,229,0.5329999999999999,210,LW,1974,1981
Jim Sandlak,549,110,119,229,0.41700000000000004,821,RW,1985,1996
Bud Poile,309,107,122,229,0.741,91,RW,1942,1950
Pat Maroon,516,97,132,229,0.444,586,LW,2011,2021
Val Fonteyne,820,75,154,229,0.27899999999999997,26,LW,1959,1972
Jason York,757,42,187,229,0.303,621,D,1992,2007
Sean O'Donnell,1224,31,198,229,0.187,1809,D,1994,2012
Gary McAdam,534,96,132,228,0.42700000000000005,243,LW,1975,1986
Zdeno Ciger,352,94,134,228,0.648,101,LW,1990,2002
William Nylander,313,88,140,228,0.728,76,RW,2015,2021
Keith Carney,1018,45,183,228,0.22399999999999998,904,D,1991,2008
Rasmus Ristolainen,498,43,185,228,0.45799999999999996,259,D,2013,2021
Vyacheslav Fetisov,546,36,192,228,0.418,656,D,1989,1998
Jason Williams,455,94,133,227,0.499,157,RW/C,2000,2012
Robbie Ftorek,334,77,150,227,0.68,262,C,1972,1985
Boone Jenner,494,115,111,226,0.457,303,C/LW,2013,2021
Jim McFadden,412,100,126,226,0.5489999999999999,89,C,1946,1954
Jay Pandolfo,899,100,126,226,0.251,164,LW,1996,2013
Mike Eaves,324,83,143,226,0.698,80,F,1978,1986
Chris Nilan,688,110,115,225,0.327,3043,RW,1979,1992
Lou Nanne,635,68,157,225,0.354,356,D,1967,1978
Randy Moller,815,45,180,225,0.276,1692,D,1981,1995
Dmitri Yushkevich,786,43,182,225,0.28600000000000003,659,D,1992,2003
Andrew Ference,907,43,182,225,0.248,753,D,1999,2017
Pete Horeck,426,106,118,224,0.526,340,LW,1944,1952
Magnus Arvedson,434,100,124,224,0.516,241,LW,1997,2004
Bob Leiter,447,98,126,224,0.501,144,C,1962,1976
Dixon Ward,537,95,129,224,0.41700000000000004,431,RW,1992,2003
Jan Hlavac,436,90,134,224,0.514,138,LW/RW,1999,2008
Bill Lindsay,777,83,141,224,0.28800000000000003,922,LW,1991,2004
Greg Hawgood,474,60,164,224,0.473,426,D,1987,2002
Bob Baun,964,37,187,224,0.23199999999999998,1493,D,1956,1973
Frank Nighbor,349,138,85,223,0.639,247,C,1917,1930
Todd Harvey,671,91,132,223,0.332,950,RW,1994,2006
Brian Spencer,553,80,143,223,0.40299999999999997,634,LW,1969,1979
Tom Gilbert,655,45,178,223,0.34,198,D,2006,2017
Dave Lewis,1008,36,187,223,0.221,953,D,1973,1988
Carl Brewer,604,25,198,223,0.369,1037,D,1957,1980
Red Hamill,419,128,94,222,0.53,160,LW,1937,1951
Brad Isbister,541,106,116,222,0.41,615,LW,1997,2008
Andrei Kostitsyn,398,103,119,222,0.5579999999999999,181,LW/RW,2005,2012
Andy Brickley,385,82,140,222,0.5770000000000001,81,LW,1982,1994
Gary Sargent,402,61,161,222,0.552,273,D,1975,1983
Craig Ludwig,1256,38,184,222,0.177,1437,D,1982,1999
Eric Fehr,652,113,108,221,0.33899999999999997,217,C/RW,2005,2019
Rick Blight,326,96,125,221,0.6779999999999999,170,RW,1975,1983
Michal Grosek,526,84,137,221,0.42,509,LW,1993,2004
Larry Popein,449,80,141,221,0.49200000000000005,162,C,1954,1968
Derek Armstrong,467,72,149,221,0.473,355,C,1993,2010
Butch Keeling,525,157,63,220,0.419,331,LW,1926,1938
Jamie McGinn,617,117,103,220,0.35700000000000004,267,LW,2008,2019
Steve Jensen,438,113,107,220,0.502,318,LW,1975,1982
Steve Staios,1001,56,164,220,0.22,1322,D,1995,2012
Rick Lapointe,664,44,176,220,0.331,831,D,1975,1986
Doug Jarrett,775,38,182,220,0.284,631,D,1964,1977
Normie Himes,402,106,113,219,0.545,127,C,1926,1935
Jerry Butler,641,99,120,219,0.342,515,RW,1972,1983
Jamal Mayers,915,90,129,219,0.239,1200,RW,1996,2013
Alexei Morozov,451,84,135,219,0.486,98,RW,1997,2004
Rick Smith,687,52,167,219,0.319,560,D,1968,1981
Chad Kilger,714,107,111,218,0.305,363,LW,1995,2008
Jack Valiquette,350,84,134,218,0.623,79,C,1974,1981
Brent Sopel,658,44,174,218,0.331,309,D,1998,2011
Bob Rouse,1061,37,181,218,0.205,1561,D,1983,2000
Viktor Arvidsson,339,118,99,217,0.64,151,RW/LW,2014,2021
Tanner Pearson,463,108,109,217,0.469,134,LW,2012,2021
Adam Brown,391,104,113,217,0.555,378,LW,1941,1952
Oleg Kvasha,493,81,136,217,0.44,335,LW,1998,2006
Scott Hannan,1055,38,179,217,0.20600000000000002,625,D,1998,2015
Vitali Yachmenyov,487,83,133,216,0.444,94,RW,1995,2003
Jan Erixon,556,57,159,216,0.38799999999999996,167,LW,1983,1993
Joe Watson,835,38,178,216,0.259,447,D,1964,1979
Rem Murray,560,94,121,215,0.384,161,C,1996,2006
Ray Cullen,313,92,123,215,0.687,120,C,1965,1971
Tyler Kennedy,527,89,126,215,0.408,239,C/RW,2007,2016
Gene Carr,465,79,136,215,0.462,365,C,1971,1979
Chris Clark,607,103,111,214,0.353,700,RW,1999,2011
Ted Bulley,414,101,113,214,0.517,704,LW,1976,1984
Gerry Ehman,429,96,118,214,0.499,100,RW,1957,1971
Aaron Ekblad,460,72,142,214,0.465,275,D,2014,2021
Jordan Leopold,695,67,147,214,0.308,293,D,2002,2015
Justin Schultz,487,50,164,214,0.439,110,D,2012,2021
Jean-Pierre Bordeleau,519,97,116,213,0.41,143,RW,1969,1980
Joe Sacco,738,94,119,213,0.289,421,RW,1990,2003
Alex Kaleta,387,92,121,213,0.55,190,LW,1941,1951
Brent Peterson,620,72,141,213,0.344,484,RW,1978,1989
Jonathan Drouin,354,67,146,213,0.602,128,LW,2014,2021
Harry Oliver,463,127,85,212,0.45799999999999996,147,RW,1926,1937
Robert Sirois,286,92,120,212,0.741,42,RW,1974,1980
Gerald Diduck,932,56,156,212,0.22699999999999998,1612,D,1984,2001
Curtis Leschyshyn,1033,47,165,212,0.205,669,D,1988,2004
Cody Franson,550,43,169,212,0.385,202,D,2009,2018
Paul Gagne,390,110,101,211,0.541,166,LW,1980,1990
Jack McIntyre,499,109,102,211,0.423,173,D/LW,1949,1960
Anders Kallur,372,101,110,211,0.5670000000000001,149,F,1979,1985
Tony Currie,290,92,119,211,0.728,73,RW,1977,1985
Jeff Shantz,642,72,139,211,0.32899999999999996,341,C,1993,2003
Mathew Barzal,238,61,150,211,0.887,134,C,2016,2021
Lee Norwood,503,57,154,211,0.419,1099,D,1980,1994
Daniel Marois,350,117,93,210,0.6,419,RW,1987,1996
Chuck Kobasew,601,110,100,210,0.349,394,RW,2002,2014
Ed Beers,250,94,116,210,0.84,256,LW,1981,1986
Mark Letestu,567,93,117,210,0.37,90,C,2009,2020
Jason Demers,663,45,165,210,0.317,391,D,2009,2021
Joe Lamb,443,108,101,209,0.47200000000000003,601,RW,1927,1938
Brent Fedyk,470,97,112,209,0.445,308,LW,1987,1999
Claude Loiselle,616,92,117,209,0.33899999999999997,1146,C,1981,1994
Corey Millen,335,90,119,209,0.624,236,C,1989,1997
Colby Armstrong,476,89,120,209,0.439,376,RW/LW,2005,2013
Alec Martinez,612,64,145,209,0.342,193,D,2009,2021
Kyle Connor,253,108,100,208,0.8220000000000001,74,LW,2016,2021
Charlie Sands,427,99,109,208,0.48700000000000004,58,RW,1932,1944
Nick Bjugstad,444,97,111,208,0.46799999999999997,202,C/RW,2012,2021
Arron Asham,789,94,114,208,0.264,1004,RW,1998,2014
Fred Harvey,407,90,118,208,0.511,131,RW,1970,1977
Dave Bolland,433,85,123,208,0.48,299,C,2006,2019
Fernie Flaman,910,34,174,208,0.22899999999999998,1370,D,1944,1961
Dave McLlwain,501,100,107,207,0.413,292,C,1987,1997
Hap Day,581,86,121,207,0.35600000000000004,597,D/LW,1924,1938
Kyle McLaren,719,46,161,207,0.28800000000000003,671,D,1995,2008
Shjon Podein,699,100,106,206,0.295,439,LW,1992,2003
Cully Dahlstrom,342,88,118,206,0.602,58,C,1937,1945
Per-Olov Brasar,348,64,142,206,0.5920000000000001,33,LW,1977,1982
Johnny Boychuk,725,54,152,206,0.284,331,D,2007,2021
Jacob Trouba,482,49,157,206,0.42700000000000005,360,D,2013,2021
Garth Butcher,897,48,158,206,0.23,2302,D,1981,1995
Brian Engblom,659,29,177,206,0.313,599,D,1976,1987
Terry Martin,479,104,101,205,0.428,202,LW,1975,1985
Colin Patterson,504,96,109,205,0.40700000000000003,239,F,1983,1993
Pierre Jarry,344,88,117,205,0.596,142,RW,1971,1978
Donald Brashear,1025,85,120,205,0.2,2634,LW,1993,2010
Bryan Erickson,351,80,125,205,0.584,141,RW,1983,1994
Buck Boucher,449,117,87,204,0.45399999999999996,838,D,1917,1932
Floyd Curry,601,105,99,204,0.33899999999999997,147,RW,1947,1958
Harold Cotton,503,101,103,204,0.406,419,LW,1925,1937
Jake Guentzel,248,99,105,204,0.823,98,W/C,2016,2021
Zack Smith,662,98,106,204,0.308,722,C/LW,2008,2021
Wilbert Hiller,383,91,113,204,0.5329999999999999,163,LW,1937,1946
Maxime Talbot,704,91,113,204,0.29,495,C/W,2005,2016
Don Grosso,336,87,117,204,0.607,90,C,1938,1947
Doc Romnes,360,68,136,204,0.5670000000000001,42,C,1930,1940
Dana Murzyn,838,52,152,204,0.243,1571,D,1985,1999
Ruslan Salei,916,45,159,204,0.223,1065,D,1996,2011
Frank Finnigan,556,115,88,203,0.365,405,RW,1923,1937
Yevgeni Dadonov,284,91,112,203,0.715,42,RW/LW,2009,2021
Kevin Todd,383,70,133,203,0.53,217,C,1988,1998
Mathieu Dandenault,868,69,135,203,0.23399999999999999,516,D/RW,1995,2009
Jean-Francois Sauve,290,65,138,203,0.7,114,C,1980,1987
Jason Wiemer,726,90,112,202,0.278,1420,C,1994,2006
Jim Conacher,328,85,117,202,0.616,91,C,1945,1953
Alexander Wennberg,417,40,162,202,0.484,85,C,2014,2021
Alex Shibicky,324,110,91,201,0.62,161,LW,1935,1946
Real Chevrefils,387,104,97,201,0.519,185,LW,1951,1959
Matt Calvert,553,95,106,201,0.363,370,LW/RW,2010,2021
Stan Jonathan,411,91,110,201,0.489,751,LW,1975,1983
Lauri Korpikoski,609,86,115,201,0.33,132,LW/RW,2007,2017
Trevor Letowski,616,84,117,201,0.326,209,RW,1998,2008
Terry Crisp,536,67,134,201,0.375,135,C,1965,1977
Jack Brownschidle,494,39,162,201,0.40700000000000003,151,D,1977,1986
Luke Richardson,1417,35,166,201,0.142,2055,D,1987,2009
David Clarkson,570,114,86,200,0.35100000000000003,992,RW,2006,2020
Bob Corkum,720,97,103,200,0.278,281,C,1989,2002
Dave Schultz,535,79,121,200,0.374,2294,LW,1971,1980
Mark Tinordi,663,52,148,200,0.302,1514,D,1987,1999
Jim Morrison,704,40,160,200,0.284,542,D,1951,1971
Elmer Vasko,786,34,166,200,0.254,719,D,1956,1970
Wally Hergesheimer,351,114,85,199,0.5670000000000001,106,RW,1951,1959
Chuck Arnason,401,109,90,199,0.496,122,RW,1971,1979
Phil Bourque,477,88,111,199,0.41700000000000004,516,LW/D,1983,1996
Samuel Pahlsson,798,68,131,199,0.249,354,C,2000,2012
Shayne Gostisbehere,340,51,148,199,0.585,123,D,2014,2021
Robyn Regehr,1090,36,163,199,0.183,972,D,1999,2015
Billy Burch,390,137,61,198,0.508,255,F,1922,1933
Andre Pronovost,556,94,104,198,0.35600000000000004,408,LW,1956,1968
Mel Hill,324,89,109,198,0.611,128,RW,1937,1946
Bates Battaglia,580,80,118,198,0.341,385,LW,1997,2008
Andre Lacroix,325,79,119,198,0.609,44,C,1967,1980
Shawn Bates,465,72,126,198,0.426,266,C/LW,1997,2008
Scott Pellerin,536,72,126,198,0.369,320,LW,1992,2004
Gus Mortson,797,46,152,198,0.248,1380,D,1946,1959
Ted Harris,788,30,168,198,0.251,1000,D,1963,1975
Brad Marsh,1086,23,175,198,0.182,1241,D,1978,1993
Bert Marshall,868,17,181,198,0.228,926,D,1965,1979
Troy Loney,624,87,110,197,0.316,1091,LW,1983,1995
George Allen,339,82,115,197,0.581,179,LW,1938,1947
Serge Bernier,302,78,119,197,0.652,234,RW,1968,1981
Terry Yake,403,77,120,197,0.489,220,C,1988,2001
Mattias Ekholm,542,45,152,197,0.363,265,D,2011,2021
John Bob Kelly,425,87,109,196,0.461,687,LW/RW,1973,1979
Steve Downie,434,76,120,196,0.452,1057,RW,2007,2016
Mike Eagles,853,74,122,196,0.23,928,LW,1982,2000
Paul Woods,501,72,124,196,0.391,276,C,1977,1984
Zach Bogosian,650,53,143,196,0.302,575,D,2008,2021
Martin Skoula,776,44,152,196,0.253,328,D,1999,2010
Sergei Krivokrasov,450,86,109,195,0.433,288,RW,1992,2002
Paul Haynes,391,61,134,195,0.499,164,C,1930,1941
Ken Klee,934,55,140,195,0.209,880,D,1994,2009
Hampus Lindholm,508,51,144,195,0.384,260,D,2013,2021
Richard Smehlik,644,49,146,195,0.303,415,D,1992,2003
Jim Johnson,829,29,166,195,0.235,1197,D,1985,1998
Gerry O'Flaherty,438,99,95,194,0.44299999999999995,168,RW,1971,1979
Tom Wilson,527,81,113,194,0.368,1029,RW,2012,2021
Derek Smith,335,78,116,194,0.579,60,C,1975,1983
Bob Miller,404,75,119,194,0.48,220,C,1977,1985
Wayne Primeau,774,69,125,194,0.251,789,C,1994,2010
Anatoli Semyonov,362,68,126,194,0.536,122,C,1989,1997
Greg de Vries,878,48,146,194,0.221,780,D,1995,2009
Sami Vatanen,434,45,149,194,0.447,192,D,2012,2021
David Shaw,769,41,153,194,0.252,906,D,1982,1998
Brooks Orpik,1035,18,176,194,0.187,972,D,2002,2019
Ace Bailey,313,111,82,193,0.617,472,RW,1926,1934
Andre Burakovsky,388,84,109,193,0.49700000000000005,99,LW/RW,2014,2021
Emile Bouchard,785,49,144,193,0.24600000000000002,863,D,1941,1956
Randy Gregg,474,41,152,193,0.40700000000000003,333,D,1981,1992
Frantisek Kaberle,523,29,164,193,0.369,218,D,1999,2009
Travis Konecny,304,88,104,192,0.632,163,RW/LW,2016,2021
